name,label,epochs,best_mAP50_epoch,P_at_best50,R_at_best50,mAP50,mAP50-95_at_best50,best_mAP50-95_epoch,P_at_best95,R_at_best95,mAP50_at_best95,mAP50-95,delta_mAP50_vs_baseline,delta_mAP50-95_vs_baseline
YOLOv8m_baseline,YOLOv8m_baseline,existing,-,0.60865,0.51401,0.52276,0.32242,-,0.60865,0.51401,0.52276,0.32242,0.0,0.0
YOLOv8m_BiFPN_TSO_previous_final,YOLOv8m_BiFPN_TSO_previous_final,existing,-,0.62906,0.53079,0.54269,0.33586,-,0.62906,0.53079,0.54269,0.33586,0.019930000000000003,0.013440000000000007
sci4_A1_sgd_only,A1 YOLOv8m + SGD only,80,41,0.62644,0.52925,0.5369,0.33329,42,0.63388,0.52189,0.53597,0.33404,0.014140000000000041,0.01162000000000002
sci4_A2_warmup_only,A2 YOLOv8m + Warmup only,80,51,0.6445,0.51987,0.54134,0.33454,52,0.63601,0.52187,0.53957,0.33488,0.01858000000000004,0.012460000000000027
sci4_A3_close_mosaic_only,A3 YOLOv8m + Close Mosaic only,80,50,0.62685,0.53031,0.54118,0.3338,55,0.63076,0.52696,0.53914,0.33382,0.018419999999999992,0.011400000000000021
sci4_A4_mixup_only,A4 YOLOv8m + MixUp only,80,55,0.63729,0.52839,0.54524,0.33783,55,0.63729,0.52839,0.54524,0.33783,0.022479999999999944,0.015410000000000035
sci4_A7_tso_all_no_bifpn2,"A7 YOLOv8m + full TSO, no BiFPN",80,43,0.63838,0.52603,0.54354,0.33719,44,0.64077,0.52487,0.54116,0.33744,0.02078000000000002,0.015020000000000033
sci4_B1_bifpn_sgd,B1 BiFPN + SGD only,80,46,0.62968,0.52456,0.53991,0.3345,46,0.62968,0.52456,0.53991,0.3345,0.01715,0.012080000000000035
sci4_B2_bifpn_warmup,B2 BiFPN + Warmup only,80,50,0.64,0.52236,0.53773,0.33243,52,0.63133,0.52448,0.53747,0.33339,0.014970000000000039,0.010970000000000035
sci4_B3_bifpn_close_mosaic,B3 BiFPN + Close Mosaic only,80,56,0.62974,0.52133,0.53699,0.33295,56,0.62974,0.52133,0.53699,0.33295,0.014229999999999965,0.01053000000000004
sci4_B4_bifpn_mixup,B4 BiFPN + MixUp only,80,74,0.63535,0.5325,0.54601,0.33867,46,0.63666,0.52698,0.54584,0.33941,0.023249999999999993,0.016990000000000005
