Model,Path,Best_mAP50_Epoch,P,R,mAP50,mAP50-95,Best_mAP50-95_Epoch,P_at_best95,R_at_best95,mAP50_at_best95,Best_mAP50-95,Last_Epoch,train_box,train_cls,train_dfl,val_box,val_cls,val_dfl
YOLOv5s,/root/runs/detect/compare_yolov5s_80ep,55,0.59206,0.48101,0.49316,0.29932,55,0.59206,0.48101,0.49316,0.29932,80,1.15781,0.71521,0.89871,1.23801,0.86107,0.92434
YOLOv8s,/root/runs/detect/compare_yolov8s_80ep,62,0.59889,0.49456,0.50055,0.30351,62,0.59889,0.49456,0.50055,0.30351,80,1.12765,0.67224,0.89426,1.22997,0.84507,0.92662
YOLOv8s-BiFPN,/root/runs/detect/compare_yolov8s_bifpn_80ep,64,0.60325,0.48883,0.49898,0.30163,65,0.5984,0.49069,0.49814,0.30189,80,1.12758,0.67116,0.89441,1.22883,0.84357,0.92532
YOLOv8s-BiFPN-Opt,/root/runs/detect/compare_yolov8s_bifpn_opt_150ep,77,0.60887,0.49535,0.50655,0.30815,77,0.60887,0.49535,0.50655,0.30815,137,1.09073,0.62387,0.88252,1.22667,0.84402,0.92561
YOLOv8m,/root/runs/detect/visdrone_verify_80ep2,59,0.60865,0.51401,0.52276,0.32242,59,0.60865,0.51401,0.52276,0.32242,80,1.13565,0.70203,0.91414,1.18088,0.79655,0.92936
YOLOv8m-BiFPN,/root/runs/detect/visdrone_yolov8m_bifpn_80ep,60,0.60929,0.50676,0.51869,0.31845,54,0.6102,0.50083,0.5181,0.31868,80,1.13526,0.69987,0.9125,1.18129,0.79962,0.92861
YOLOv8m-BiFPN-Opt,/root/runs/detect/final_yolov8m_bifpn_opt_150ep,67,0.62906,0.53079,0.54269,0.33586,59,0.61963,0.53163,0.54229,0.33598,119,1.04227,0.57683,0.88134,1.18858,0.80916,0.93768
YOLOv8l,/root/runs/detect/compare_yolov8l_80ep,50,0.66028,0.54487,0.56317,0.35011,39,0.65934,0.53796,0.56123,0.3511,79,0.99021,0.50479,0.88218,1.16691,0.78933,0.94135
YOLOv8l-BiFPN,/root/runs/detect/compare_yolov8l_bifpn_80ep,48,0.64165,0.55608,0.56201,0.34965,42,0.64788,0.54219,0.55891,0.34967,80,0.98464,0.50204,0.87996,1.16665,0.78781,0.94057
YOLOv8l-BiFPN-Opt,/root/runs/detect/compare_yolov8l_bifpn_opt_150ep,50,0.66165,0.54328,0.56596,0.35136,46,0.64681,0.54751,0.56391,0.3519,106,1.00613,0.53944,0.88253,1.16501,0.79179,0.94247
YOLOv10s,/root/runs/detect/compare_yolov10s_80ep,64,0.59058,0.48972,0.49506,0.30127,64,0.59058,0.48972,0.49506,0.30127,80,1.53979,0.91632,0.89503,1.6101,1.14688,0.93872
